time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
5617,2.777778,-0.0667,stop,10,14,5,10,2,1
5618,2.708333,-0.0609,stop,10,15,5,10,2,1
5619,2.638889,-0.058,stop,10,16,5,10,2,1
5620,2.595486,-0.0551,stop,10,17,5,10,2,1
5621,2.543403,-0.0551,stop,10,18,5,10,2,1
5622,2.49132,-0.0638,stop,10,19,5,10,2,1
5623,2.434896,-0.0551,stop,10,20,5,10,2,1
5624,2.382813,-0.0609,stop,10,21,5,10,2,1
5625,2.309028,-0.0725,stop,10,22,5,10,2,1
5626,2.248264,-0.0638,stop,10,23,5,10,2,1
5627,2.17882,-0.0667,stop,10,24,5,10,2,1
5628,2.122396,-0.0725,stop,10,25,5,10,2,1
5629,2.052952,-0.0667,stop,10,26,5,10,2,1
5630,1.979167,-0.0696,stop,10,27,5,10,2,1
5631,1.918403,-0.0696,stop,10,28,5,10,2,1
5632,1.848958,-0.0667,stop,10,29,5,10,2,1
5633,1.783854,-0.0667,stop,10,30,5,10,2,1
5634,1.705729,-0.0667,stop,10,31,5,10,2,1
5635,1.640625,-0.0667,stop,10,32,5,10,2,1
5636,1.579861,-0.0638,stop,10,33,5,10,2,1
5637,1.527778,-0.0638,stop,10,34,5,10,2,1
5638,1.458333,-0.0696,stop,10,35,5,10,2,1
5639,1.384549,-0.0841,stop,10,36,5,10,2,1
5640,1.319445,-0.0812,stop,10,37,5,10,2,1
5641,1.24132,-0.087,stop,10,38,5,10,2,1
5642,1.163195,-0.0899,stop,10,39,5,10,2,1
5643,1.072049,-0.0899,stop,10,40,5,10,2,1
5644,0.980903,-0.0957,stop,10,41,5,10,2,1
5645,0.898438,-0.1015,stop,10,42,5,10,2,1
5646,0.746528,-0.0986,stop,10,43,5,10,2,1
